station_id,station_name,station_type,stop_mode,latitude,longitude
197,Fawkner,Unmanned,Train,-37.714622,144.960549
198,Merlynston,Host,Train,-37.720937,144.96131200000005
199,Batman,Unmanned,Train,-37.733524,144.962837
200,Coburg,Premium,Train,-37.742341,144.96334199999995
201,Moreland,Unmanned,Train,-37.754481,144.961823
202,Anstey,Unmanned,Train,-37.761239,144.960686
203,Brunswick,Unmanned,Train,-37.767718,144.959591
204,Jewell,Unmanned,Train,-37.774984,144.95871499999996
205,Royal Park,Unmanned,Train,-37.781192,144.952299
206,Flemington Bridge,Unmanned,Train,-37.7881369999999,144.939321
207,Macaulay,Unmanned,Train,-37.794263,144.93617
208,North Melbourne,Premium,Train,-37.80630900000001,144.941509
209,Clifton Hill,Premium,Train,-37.788654,144.995417
210,Victoria Park,Unmanned,Train,-37.799155,144.994447
211,Collingwood,Unmanned,Train,-37.804523,144.993745
212,North Richmond,Unmanned,Train,-37.810396,144.9925
213,West Richmond,Unmanned,Train,-37.814945,144.99141799999995
214,Jolimont-MCG,Host,Train,-37.81653,144.984096
215,Melton,,V/Line Train,-37.703289,144.572525
216,Rockbank,,V/Line Train,-37.729258,144.65063
217,Deer Park,,V/Line Train,-37.77776,144.772307
218,Macleod,Premium,Train,-37.72601,145.069147
219,Watsonia,Premium,Train,-37.710954,145.083795
220,Greensborough,Premium,Train,-37.70395,145.108249
221,Montmorency,Unmanned,Train,-37.715297,145.121511
222,Eltham,Premium,Train,-37.713552,145.147827
223,Diamond Creek,Unmanned,Train,-37.673293,145.158509
224,Wattle Glen,Unmanned,Train,-37.663966,145.18161899999996
225,Hurstbridge,Host,Train,-37.639402,145.192012
226,Williamstown,Premium,Train,-37.867754,144.905324
227,Williamstown Beach,Unmanned,Train,-37.863982,144.894487
228,North Williamstown,Unmanned,Train,-37.85733,144.88906699999995
229,Newport,Premium,Train,-37.842714,144.883604
230,Spotswood,Host,Train,-37.830635,144.88593500000005
231,Yarraville,Host,Train,-37.815849,144.889934
232,Seddon,Unmanned,Train,-37.809001,144.895668
233,Sunbury,,V/Line Train,-37.579203,144.72816699999996
234,Diggers Rest,,V/Line Train,-37.627013,144.719918
235,Watergardens,Premium,Train,-37.701128,144.774186
236,Keilor Plains,Unmanned,Train,-37.729276,144.793733
237,St Albans,Premium,Train,-37.74485900000001,144.800055
238,Ginifer,Unmanned,Train,-37.75750900000001,144.809571
239,Albion,Host,Train,-37.777655,144.824709
240,Epping,Premium,Train,-37.652388,145.030118
241,Lalor,Unmanned,Train,-37.66585300000001,145.017195
242,Thomastown,Premium,Train,-37.680335,145.014284
243,Keon Park,Unmanned,Train,-37.694867,145.011883
244,Ruthven,Unmanned,Train,-37.707899,145.009514
245,Reservoir,Premium,Train,-37.716889,145.006993
246,Regent,Host,Train,-37.7284,145.002771
247,Preston,Premium,Train,-37.738674,145.000527
248,Bell,Premium,Train,-37.745566,145.000152
249,Thornbury,Unmanned,Train,-37.755048,144.998576
250,Croxton,Unmanned,Train,-37.764098,144.997057
251,Northcote,Unmanned,Train,-37.769865,144.995282
252,Merri,Unmanned,Train,-37.777843,144.992976
253,Rushall,Unmanned,Train,-37.783217,144.992403
